Gene,P_value,minus_log10_p
SLC6A1 Solute carrier family 6 (neurotransmitter transporter; GABA); member 1,0.00934485530155045,2.0294274189747914
GB DEF = Erg protein (ets-related gene) mRNA,0.00936903284822177,2.028305238392817
Biphenyl hydrolase-related protein,0.00938440673864375,2.0275931773076543
Single-Stranded Dna-Binding Protein Mssp-1,0.00938891041712068,2.027384804676213
Growth hormone (somatotropin; GH1) gene,0.009414832408962128,2.026187406344158
Putative splice factor transformer2-beta mRNA,0.009425927690468822,2.0256758961858496
Enigma gene,0.009427222677229934,2.02561623447474
Cdc7-related kinase,0.00950631128079932,2.0219879689892815
Ets domain protein ERF mRNA,0.009510992416168654,2.0217741646210707
SMPD1 gene extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene; ORF's 1-3's,0.009546101377710033,2.0201739578237166
Carboxyl Methyltransferase; Aspartate; Alt. Splice 1,0.009579494078324362,2.018657426703701
MULTIFUNCTIONAL AMINOACYL-TRNA SYNTHETASE,0.009590275666403305,2.0181689091299475
RETINOIC ACID RECEPTOR BETA-2,0.009613910926571356,2.017099905951677
KIAA0152 gene,0.009641243114259455,2.0158669658008392
PRIM2A DNA primase polypeptide 2A (58kD),0.009642251205403964,2.0158215582191574
RECQL RecQ protein-like (DNA helicase Q1-like),0.009680716941841059,2.014092478192069
PWP2H protein mRNA,0.009685993591390543,2.01385582263458
Butyrophilin (BTF4) mRNA,0.009748702270952009,2.0110531929245754
Butyrophilin (BTF4) mRNA,0.009748702270952009,2.0110531929245754
VHL binding protein-1 (VBP-1) mRNA; partial cds,0.009784550920393644,2.009459102276864
ENO1 Enolase 1; (alpha),0.00979491386047637,2.0089993789734084
EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR SUBUNIT 1,0.009812456567350688,2.0082222525500466
EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR SUBUNIT 1,0.009812456567350688,2.0082222525500466
OX-2 MEMBRANE GLYCOPROTEIN PRECURSOR,0.009839211150866183,2.007039719308397
GB DEF = Potassium channel mRNA,0.009854123463314044,2.006382000707334
MTF-1 mRNA for metal-regulatory transcription factor,0.009858413636733102,2.006192963785068
Grb2-associated binder-1 mRNA,0.009860728968885152,2.006090978013969
59 protein mRNA; 3' end,0.009916548646798765,2.0036394532953348
Keratin 10 type I intermediate filament (KRT10) mRNA,0.009920411860331529,2.003470297104264
Small GTP-binding protein rab27b mRNA,0.009952402747722548,2.0020720575352544
Non-histone chromosomal protein (NHC) mRNA,0.009982088853845494,2.000778568655125
UCP from  Human UCP gene for uncoupling protein exons 1 and 2./ntype=DNA /annot=exon,0.010015369990433407,1.9993330022530291
CAPN4 Calpain; small polypeptide,0.010042589792720477,1.998154276468715
KIAA0257 gene; partial cds,0.010049039797269866,1.9978754338325084
Transducin-like protein mRNA,0.010060992472726535,1.9973591759233824
GB DEF = Twist gene,0.010077019665103397,1.9966678939208051
PTPN1 Tyrosine phosphatase 1,0.010088765545716478,1.996161970480789
GAPD Glyceraldehyde-3-phosphate dehydrogenase,0.010095275774831887,1.9958818128419997
GAPD Glyceraldehyde-3-phosphate dehydrogenase,0.010095275774831887,1.9958818128419997
GAPD Glyceraldehyde-3-phosphate dehydrogenase,0.010095275774831887,1.9958818128419997
GAPD Glyceraldehyde-3-phosphate dehydrogenase,0.010095275774831887,1.9958818128419997
Factor VII serine protease precursor mRNA; clone lambda-HVII2463,0.010160203159820289,1.9930976079667875
SIP-1 mRNA,0.010210769756401446,1.990941516644107
OSBP Oxysterol binding protein,0.010222327321127595,1.9904502169550722
PLACENTAL CALCIUM-BINDING PROTEIN,0.010273249606285116,1.9882921598255685
PKD2 Autosomal dominant polycystic kidney disease type II,0.010302174530012457,1.9870710969734666
RBQ-3 mRNA,0.010353475259971616,1.984913849927248
130 KD LEUCINE-RICH PROTEIN,0.010428990790984848,1.9817577160329554
GB DEF = 26S proteasome-associated pad1 homolog (POH1) mRNA,0.010454061425614006,1.980714952418215
OBF-1 mRNA for octamer binding factor 1,0.0104870706426406,1.9793458065064173
AMD1 S-adenosylmethionine decarboxylase 1,0.010495434081810862,1.9789995946769499
GTBP DNA G/T mismatch-binding protein,0.010496829423980458,1.9789418601305682
SELP Selectin P (granule membrane protein 140kD; antigen CD62),0.010520239472613104,1.9779743742078755
TPM1 Tropomyosin alpha chain (skeletal muscle),0.01052784928980813,1.9776603407773445
TPM1 Tropomyosin alpha chain (skeletal muscle),0.01052784928980813,1.9776603407773445
KDR Kinase insert domain receptor (a type III receptor tyrosine kinase),0.010549903542655573,1.9767515110851441
Histamine N-methyltransferase,0.01055452045876492,1.9765614939378815
KIAA0246 gene; partial cds,0.010557823811112994,1.9764255897777447
GYPC Glycophorin C (Gerbich blood group),0.010582990256230426,1.975391603728616
Uncoupling protein 3 mRNA,0.010585904169088698,1.975272041860371
Uncoupling protein 3 mRNA,0.010585904169088698,1.975272041860371
PTPRA Protein tyrosine phosphatase; receptor type; alpha polypeptide,0.0106587368083048,1.9722942615091925
ELL mRNA,0.010659592930214519,1.9722593798814114
BN51T BN51 (BHK21) temperature sensitivity complementing,0.010733312465485858,1.9692662273840629
Butyrophilin (BT3.3) gene,0.010735949850229156,1.9691595258468058
Bleomycin hydrolase,0.010748002370911707,1.9686722464374402
Thiol-specific antioxidant protein mRNA,0.0107982289161663,1.9666474699770153
Dnaj Homolog (Gb:X63368); Alt. Splice Form 2,0.010805966184518156,1.966336395847364
Cyclin H assembly factor,0.010806517338574401,1.9663142453929656
Tg737 mRNA,0.010817646456899211,1.965867216305564
MXI1 mRNA,0.010838739841199924,1.9650212078185298
AFFX-CreX-5_st (endogenous control),0.011084278225838419,1.9552925815518558
XK Kell blood group precursor (McLeod phenotype),0.011138864637400984,1.953159073690143
GB DEF = Beta adducin,0.011153452805171942,1.9525906660596024
KIAA0002 gene,0.011154364382213693,1.9525551724139485
TBP-associated factor (hTAFII130) mRNA; partial cds,0.011180441701391444,1.9515410386063345
NMOR2 Quinone oxidoreductase (NQO2),0.011189356204497281,1.951194900502718
Death domain containing protein CRADD mRNA,0.011251935830660382,1.9487727532638193
KIAA0103 gene,0.011274105304532708,1.9479179130173483
Sodium channel 2 (hBNaC2) mRNA; alternatively spliced,0.011280753834832897,1.947661877713565
CBR Carbonyl reductase,0.011291466732282611,1.9472496406823787
Kinectin gene,0.011304063497421439,1.946765411624617
GB DEF = ISG-54K gene (interferon stimulated gene) encoding a 54 kDA protein; exon 2,0.011322724216608942,1.946049070506178
Galactokinase (GALK1) gene,0.011452889846828027,1.941084916277955
GB DEF = DNA sequence from PAC 398C22 on chromosome 22q11.2-qter. Contains Brain Protein E46 like sequences; ESTs,0.01146926298114014,1.940464489117739
GM2A GM2 ganglioside activator protein,0.011499438748036763,1.9393233556967189
GB DEF = BAC clone RG331P03; complete sequence,0.011517970643947157,1.938624032698629
MEF2A gene (myocyte-specific enhancer factor 2A; C9 form) extracted from Human myocyte-specific enhancer factor 2A (MEF2A) gene; first coding,0.011519247834322722,1.9385758778631363
GB DEF = Metallothionein IV (MTIV) gene,0.011562741107551264,1.9369391982021156
SNRPE Small nuclear ribonucleoprotein polypeptide E,0.011572388490501996,1.9365769953101535
HCF1 gene related mRNA sequence,0.011623292348163707,1.9346708387171638
NFYA Nuclear transcription factor Y; alpha,0.011658475609432273,1.9333582315402738
CtBP mRNA,0.011672281994562963,1.932844228722279
GB DEF = Theta 1-globin gene,0.011676410059015086,1.9326906616079356
DNA-binding protein ABP/ZF mRNA,0.01167728302314776,1.9326581936377039
Chromosome segregation gene homolog CAS mRNA,0.011677987255845441,1.9326320030288162
Lymphoid-restricted membrane protein (Jaw1) mRNA,0.0116917104061062,1.9321219502926763
INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR,0.011713696000344921,1.9313060511878506
Frezzled (fre) mRNA,0.011713986446793273,1.931295282791096
DNA binding protein homolog (DRIL) mRNA; partial cds,0.01171798615604769,1.9311470194156881
SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger); isoform 1 (antiporter; Na+/H+; amiloride sensitive),0.011778639557353006,1.9289048680254925
SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger); isoform 1 (antiporter; Na+/H+; amiloride sensitive),0.011778639557353006,1.9289048680254925
GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR ALPHA CHAIN PRECURSOR,0.0118489310132164,1.926320829063396
Cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit (HH1) mRNA,0.011853658980819713,1.9261475711815792
TINUR,0.011872796577994907,1.925446973097562
SIAT4A Sialyltransferase 4A (beta-galactosidase alpha-2;3-sialytransferase),0.011900483312970011,1.924435400297089
CELL DIVISION PROTEIN KINASE 8,0.0119057530766238,1.9242431288875557
Apolipoprotein apoC-IV (APOC4) gene,0.01191747771570567,1.9238156514802247
Kruppel-related zinc finger protein (ZNF184) mRNA; partial cds,0.011971627402886315,1.9218468083193638
AFFX-ThrX-5_at (endogenous control),0.012076434178207345,1.9180612813884275
CYP1B1 Cytochrome P450 IB1 (dioxin-inducible),0.012104116568236546,1.9170669025081575
Skeletal muscle 165kD protein,0.01210720136909671,1.9169562342659694
ARF6 ADP-ribosylation factor 6,0.012165026149776902,1.9148869531785713
Cytoplasmic antiproteinase,0.012214246786356794,1.9131333094203724
Basic Transcription Factor; 44 Kda Subunit,0.01231075228868886,1.9097154072763458
<beta>-ADD gene extracted from beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein;  beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein {alternatively spliced; exon 10 to 13 region} [human; Genomic; 4499 nt 3 segments],0.012339104884615227,1.9087163441741097
GB DEF = Dystrophin (dp140) mRNA; 5' end,0.012370865962984106,1.9075998986099834
External Membrane Protein; 130 Kda (Gb:Z22971),0.01237903579472022,1.9073131812723003
GUANYLATE CYCLASE SOLUBLE; BETA-1 CHAIN,0.012389636547634836,1.9069414335490225
CPA3 Carboxypeptidase A3 (mast cell),0.012579868373973771,1.9003239029889953
APOH Apolipoprotein H,0.012760099194792415,1.8941459494719464
VILLIN,0.012777904219284429,1.8935403715796926
GB DEF = Retrotransposon,0.012804024195158801,1.8926535138613927
GCNT2 Glucosaminyl (N-acetyl) transferase 2; I-branching enzyme,0.012819992403727281,1.8921122321510784
DNA-BINDING PROTEIN MEL-18,0.01287324279819172,1.8903120395785145
Zinc Finger Protein Hzf3 (Gb:X60153),0.012876561550516506,1.8902000918673847
TCL1 gene (T cell leukemia) extracted from H.sapiens mRNA for Tcell leukemia/lymphoma 1,0.012885732287181815,1.8898908957591458
KIAA0030 gene; partial cds,0.012941413533014711,1.8880182850227403
Transposon-like element mRNA,0.01302725114989857,1.885147214093506
Clone 23693 mRNA sequence,0.013034870953031246,1.8848932640479237
KIAA0184 gene; partial cds,0.01313627741758211,1.8815276885092798
BRCA1-associated RING domain protein (BARD1) mRNA,0.013146486988921484,1.8811902840681236
IL1B Interleukin 1; beta,0.013154293611233634,1.8809324686714188
ANK3 Ankyrin 3; node of Ranvier (ankyrin G),0.013156754698414345,1.8808512224532823
KIAA0192 gene; partial cds,0.013161365212119518,1.8806990595565263
Caldecrin,0.013270269398668863,1.8771202604688182
DMC1 homologue,0.013308179333476186,1.875881355457681
Clone 23732 mRNA; partial cds,0.013417480586592756,1.872329024409978
KIAA0179 gene; partial cds,0.013446455221646683,1.8713921900541757
Male Enhanced Antigen,0.01345971990632083,1.870963977586407
CRYAB Crystallin alpha-B,0.013498435238348204,1.86971657274482
LAMP1 Lysosome-associated membrane protein 1,0.01351802077065832,1.8690868905914926
LAMP1 Lysosome-associated membrane protein 1,0.01351802077065832,1.8690868905914926
55.11 binding protein,0.013539367946003422,1.8684016092084832
Homeotic Protein Emx1,0.013542387273365404,1.8683047707866614
Protein Phosphatase 1; Alpha Catalytic Subunit,0.01359194512720715,1.8667183874497264
C6.1A PROTEIN,0.013605960477975711,1.8662707948940456
FCER1A High affinity IgE receptor alpha-subunit (FcERI),0.013639890948362177,1.8651891018726392
Cam kinase I mRNA,0.013645144741483728,1.8650218531714913
L-3-hydroxyacyl-CoA dehydrogenase,0.013690861953894332,1.8635692085471096
Splicing factor SRp55-2 (SRp55) mRNA,0.013702162547546467,1.8632108847889202
KIAA0084 gene; partial cds,0.013767488379258584,1.8611452814220204
KIAA0080 gene; partial cds,0.013770272270074933,1.861057472653597
RBP2,0.013837376785616144,1.8589462332543405
Thyroid receptor interactor (TRIP1) mRNA,0.013894558649638908,1.85715524370997
CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J),0.013902629913482486,1.8569030379561542
Lung phospholipase A-2 (PLA-2) mRNA; clone lung-1(hcDNA),0.013917737278716856,1.8564313658206304
FN1 Fibronectin 1,0.013946830681329181,1.8555244715293708
FN1 Fibronectin 1,0.013946830681329181,1.8555244715293708
Dynamitin mRNA,0.014014707953639934,1.853415947881872
4-AMINOBUTYRATE AMINOTRANSFERASE; MITOCHONDRIAL PRECURSOR,0.014016278030928463,1.8533672963001075
LZTR-1,0.014045408600393182,1.8524656220505227
"HIGH AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR I ""A FORM"" PRECURSOR",0.014079958334187242,1.8513986303685754
ENO3 Enolase 3; (beta; muscle),0.014093657896444884,1.8509762745933567
9 KD PROTEIN,0.01411862586791652,1.8502075700704619
ALDOA Aldolase A,0.014120005331552304,1.8501651392995615
AFFX-HUMISGF3A/M97935_MA_at (endogenous control),0.014149098264873804,1.8492712372469904
Ionotropic ATP receptor P2X5a mRNA,0.014236947763640396,1.8465831084162716
PGAM2 Phosphoglycerate mutase 2 (muscle),0.0142640085525422,1.8457584094344426
Folylpolyglutamate synthetase mRNA,0.014275599325655352,1.8454056499219589
RFC1 Replication factor C (activator 1) 1 (145kD),0.014290011292261002,1.844967428020457
NME1 Non-metastatic cells 1; protein (NM23A) expressed in,0.014300263445322115,1.8446559617100577
NME1 Non-metastatic cells 1; protein (NM23A) expressed in,0.014300263445322115,1.8446559617100577
NME1 Non-metastatic cells 1; protein (NM23A) expressed in,0.014300263445322115,1.8446559617100577
GB DEF = Chromosome 1q subtelomeric sequence D1S553,0.014382415121114623,1.8421681803158698
GB DEF = Chromosome 1q subtelomeric sequence D1S553,0.014382415121114623,1.8421681803158698
RIG-G mRNA,0.014491361605373468,1.8388908063909115
CRM1 protein,0.014517680841382637,1.8381027554151537
Soxa,0.014518919608640412,1.8380656994391509
KIAA0191 gene; partial cds,0.014569778834118658,1.8365470406700144
Clone rasi-1 matrix metalloproteinase RASI-1 mRNA,0.014594751195180502,1.8358033042718016
THYMOSIN BETA-10,0.014613200368004932,1.8352546608654612
Clone 23733 mRNA,0.014637341632168748,1.8345377907170044
GB DEF = EYA1A gene,0.01468255373942567,1.8331984009264617
78 KD GLUCOSE REGULATED PROTEIN PRECURSOR,0.014688019666183586,1.8330367546539104
SPTBN1 Spectrin; beta; non-erythrocytic 1,0.01469352424239603,1.8328740261662795
Flg-2 gene for fibroblast growth factor receptor,0.014706043170393984,1.8325041634672046
Clone 23803 mRNA; partial cds,0.014757413632689113,1.8309897497944718
DTYMK Deoxythymidylate kinase,0.014769189641339905,1.8306433329852247
GB DEF = Myocyte-specific enhancer factor 2 (MEF2),0.014801172322429225,1.8297038850781087
Phosphorylase-kinase; beta subunit,0.01484685670729033,1.8283654829916043
Pre-T/NK cell associated protein (6H9A) mRNA,0.014883630825710722,1.8272911107779624
Skeletal muscle LIM-protein SLIM1 mRNA,0.014904723539692927,1.8266760750690783
40871 mRNA partial sequence,0.014913012743883127,1.8264346110157597
GB DEF = Ribonuclease k6 precursor gene,0.014998536860421045,1.823951105240208
Sodium phosphate transporter (NPT3) mRNA,0.015005754598124726,1.8237421602150385
PEBP2aC1 acute myeloid leukaemia mRNA,0.0150518309282863,1.8224106685959078
GB DEF = Uroporphyrinogen decarboxylase (URO-D) gene; partial cds,0.015055781489731789,1.8222966969516459
KIAA0067 gene,0.015070986870141781,1.8218583085198603
Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA,0.015086747828258553,1.8214043687374957
HPBRII-4 mRNA,0.015090249050617576,1.8213035925361152
Hypothetical protein A4 mRNA,0.015118283814571951,1.82049750593558
Small acidic protein mRNA,0.015129278629351888,1.8201817788347512
YMP mRNA,0.015141408844547474,1.8198337136769798
DCP1 Dipeptidyl carboxypeptidase 1 (angiotensin I converting enzyme),0.015248526538814085,1.8167721200535105
GB DEF = HMGI-C chimeric transcript mRNA; partial cds,0.015279793740783821,1.8158825081846757
Trabecular meshwork inducible glucocorticoid response protein (TIGR) mRNA,0.015289924871045668,1.8155946485425822
Cyclin A/CDK2-associated p45 (Skp2) mRNA,0.01536866928507815,1.813363734788275
Clones 23920 and 23921 mRNA sequence,0.015465239902797438,1.810643338664164
C2f mRNA,0.015510279551421088,1.8093803745561257
GB DEF = Natriuretic peptide receptor (ANP-A receptor),0.015657043793775072,1.8052902336731202
Clone 23773 mRNA sequence,0.015669414276995395,1.8049472371640238
Nuclear protein; NP220,0.015670179705049116,1.804926023029579
EPOR Erythropoietin receptor,0.015680013113676457,1.8046535784376174
EPOR Erythropoietin receptor,0.015680013113676457,1.8046535784376174
HS1 binding protein HAX-1 mRNA; nuclear gene encoding mitochondrial protein,0.01573771609648936,1.8030582934929098
CAV Caveolin; caveolae protein; 22kD,0.01591981142400996,1.7980620809448915
Ras GTPase-activating-like protein (IQGAP1) mRNA,0.015922734273232597,1.7979823525648517
Ras GTPase-activating-like protein (IQGAP1) mRNA,0.015922734273232597,1.7979823525648517
Ras GTPase-activating-like protein (IQGAP1) mRNA,0.015922734273232597,1.7979823525648517
Myasthenic syndrome antigen B [human; fetal brain; mRNA; 3477 nt],0.01595575764048224,1.7970825690155312
TPRD,0.016005353683715407,1.795734724444636
Phosphate regulating neutral endopeptidase (PEX) mRNA,0.016015050783815273,1.795471679847754
Nel-related protein 2,0.016036539775278698,1.7948893342199848
VRK1,0.016051734907574992,1.7944780211988538
KIAA0245 gene,0.01608771535958363,1.7935056263282547
EIF5 Eukaryotic translation initiation factor 5 (eIF5),0.016155435690597946,1.7916813251442634
Rab9 effector p40,0.016228096785511764,1.789732410797121
STS Steroid sulfatase (microsomal),0.0162496142106772,1.789156945341288
KIAA0035 gene; partial cds,0.01626491706998624,1.7887481467159227
P2Y6 receptor; short splice variant mRNA,0.016320100359165503,1.7872771749144019
HVps41p (HVPS41) mRNA,0.016321751032391214,1.7872332510410063
Clone 23654 mRNA sequence,0.016326225896478152,1.7871141987152448
IDUA Iduronidase; alpha-L-,0.016343868456447457,1.7866451417787474
IDUA Iduronidase; alpha-L-,0.016343868456447457,1.7866451417787474
DNM1 Dynamin 1,0.016407130141290603,1.7849673770699446
YF5 mRNA,0.016544381800737775,1.7813494560982215
LIM-homeobox domain protein (hLH-2) mRNA,0.016613496362911418,1.7795389592809037
ARSA Arylsulfatase A,0.01670382581690632,1.7771840473626281
CALR Autoantigen calreticulin,0.01673614795232582,1.776344493508645
(clone PK2J) CDC2-related protein kinase (PISSLRE) mRNA,0.016762889507200365,1.775651117634756
ITBA1 protein,0.016889963199253035,1.7723712966917948
H4(D10S170),0.01690180276846944,1.7720669704962293
MKI67 Antigen identified by monoclonal antibody Ki-67,0.016915947719602736,1.7717036657527991
Lymphoid nuclear protein (LAF-4) mRNA,0.016948494848357212,1.7708688643091466
Translin associated protein X,0.01695738596838294,1.7706410947092657
Fibrinogen gamma chain and gamma-prime chain genes,0.01697979857850191,1.7700674658449516
BETA-DEFENSIN 1 PRECURSOR,0.01698026237741365,1.7700556033628225
ZFM1 protein alternatively spliced product,0.016989730511845446,1.7698135097799637
K+ channel beta 2 subunit mRNA,0.016993031333847924,1.7697291417823042
Transmembrane protein Jagged 1 (HJ1) mRNA,0.017016177922824383,1.7691379820559119
JunD mRNA,0.01702630801253278,1.7688795143165257
(clone EST02946) mRNA,0.017091888339864806,1.767209953061661
(clone EST02946) mRNA,0.017091888339864806,1.767209953061661
Repressor transcriptional factor (ZNF85) mRNA,0.017097287524824912,1.7670727847213814
DGUOK Deoxyguanosine kinase,0.017106684992892206,1.7668341417610605
54 kDa protein mRNA,0.017114088790521037,1.7666462191544094
GB DEF = Neural cell adhesion molecule (N-CAM) gene; exon SEC and partial cds,0.017141560692133646,1.7659496392900236
GABPA GA-binding protein transcription factor; alpha subunit (60kD),0.017212547742725428,1.7641548421236357
Clones 23667 and 23775 zinc finger protein mRNA,0.01721846672345993,1.7640055243799293
GB DEF = (HLCC85) mRNA for voltage-dependent L-type Ca channel alpha 1 subunit (splice variant),0.017350968108233354,1.7606762884619294
INTESTINAL MEMBRANE A4 PROTEIN,0.017359591394573548,1.7604605013467627
Ikaros/LyF-1 homolog (hIk-1) mRNA,0.017367220848731,1.7602696730109735
FRG1 mRNA,0.017456979193126176,1.7580309057197314
Stress responsive serine/threonine protein kinase Krs-1 mRNA,0.01746971295813752,1.757714230776719
Stress responsive serine/threonine protein kinase Krs-1 mRNA,0.01746971295813752,1.757714230776719
Protein kinase C-binding protein RACK7 mRNA; partial cds,0.017540539528955217,1.7559570523129426
GDP-dissociation inhibitor protein (Ly-GDI) mRNA,0.017544821231776773,1.7558510525525033
Rat HREV107-like protein,0.017574631403799626,1.7551137747561925
Estrogen responsive finger protein,0.017603507039218026,1.754400801728328
HNRPG Heterogeneous nuclear ribonucleoprotein G,0.0176084786895355,1.7542781639237002
GB DEF = SCP1 protein,0.017639050180069303,1.753524804275662
Histone H1x,0.01768471994178043,1.752401813355728
MULTIFUNCTIONAL PROTEIN ADE2,0.017691940922337796,1.7522245195141417
Ras-Like Protein Tc4,0.017713456164113028,1.7516966930978948
Transformation-Related Protein,0.017738595220994028,1.7510807763829508
VASP gene; exons 4 to 13,0.017749785859084724,1.7508068820893856
AFFX-CreX-5_at (endogenous control),0.017764263555451156,1.750452792139376
IRF4 Interferon regulatory factor 4,0.017805732188174685,1.7494401630317962
SCYA1 gene (secreted protein I-309) extracted from Human secreted protein (I-309) gene,0.017857050463377263,1.748190274073757
SERUM PROTEIN MSE55,0.017886357316766195,1.7474780975717714
KIAA0064 gene,0.017897250261470574,1.7472136890203098
IRF5 Interferon regulatory factor 5,0.017906831535931506,1.7469812521294068
Myosin VIIA (USH1B) mRNA,0.017918908077129654,1.7466884584309021
X123 mRNA; 3' end,0.01795075420018275,1.7459172998379389
TGM3 Transglutaminase 3 (E polypeptide; protein-glutamine-gamma-glutamyltransferase),0.017979569136957668,1.7452207199266951
MXS1 Membrane component; X chromosome; surface marker 1,0.017983348688293595,1.7451294348811779
KIAA0006 gene; partial cds,0.017985700872691992,1.7450726337858713
PPP1CC Protein phosphatase 1; catalytic subunit; gamma isoform,0.01805888293068964,1.743309117369227
SNRPB2 Small nuclear ribonucleoprotein polypeptide B'',0.01807035912897229,1.7430332162170925
HETEROCHROMATIN PROTEIN 1 HOMOLOG,0.01816617590981914,1.7407364846927278
HEPATOCYTE GROWTH FACTOR ACTIVATOR PRECURSOR,0.018172680781421865,1.740581002097514
GB DEF = N33 protein form 1 (N33) gene; exon 10 and complete cds,0.01842520802155704,1.7345876002339393
HNSPC,0.018433248053108336,1.7343981326455322
HPrp18 mRNA,0.018466001445427,1.7336271347809775
ANGPT1 Angiopoietin 1,0.018481485502533954,1.7332631240452985
G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's,0.01848556139826478,1.733167355560646
Serine kinase mRNA,0.018487370288629575,1.7331248600879539
CD24 signal transducer mRNA and 3' region,0.018597319823618185,1.7305496401736842
Transcription factor HCSX (hCsx) mRNA,0.018605634745407613,1.7303555091025062
Cell adhesion protein (SQM1) mRNA,0.018646772230578975,1.7293963340305163
ICAM2 Intercellular adhesion molecule 2,0.018746323871794483,1.7270838841347738
RABAPTIN-5 protein,0.01876277051204522,1.7267030332674407
RABAPTIN-5 protein,0.01876277051204522,1.7267030332674407
RABAPTIN-5 protein,0.01876277051204522,1.7267030332674407
RNA polymerase III subunit (RPC62) mRNA,0.01877887295617785,1.7263304761593996
BZip protein B-ATF mRNA,0.01878833867290396,1.7261116199574011
Gtp Cyclohydrolase I; Alt. Splice 1,0.018809620956552392,1.7256199560783467
GALN Galanin,0.018835252169967856,1.725028561003988
Protein kinase inhibitor [human; neuroblastoma cell line SH-SY-5Y; mRNA; 2147 nt],0.018881077167337956,1.7239732327876074
CD27 CD27 antigen (T cell activation antigen),0.018898561075157676,1.7235712614833005
Clathrin-like protein,0.018980759932528835,1.721686403716049
Pre-Mrna Splicing Factor Sf2p33; Alt. Splice Form 1,0.019004244889219698,1.7211493818861963
Peptidylprolyl isomerase gene extracted from Human cyclophilin gene for cyclophilin (EC 5.2.1.8),0.01904843743365115,1.7201406442285672
F11 mRNA,0.019090706228845136,1.719178005308942
Chemokine HCC-1,0.01929793926881168,1.714489064669245
GPX4 Phospholipid hydroperoxide glutathione peroxidase,0.01930601449008033,1.7143073721871653
APT1 Apoptosis (APO-1) antigen 1,0.019347985313592008,1.7133642509418607
PTMA gene extracted from Human prothymosin alpha mRNA,0.01948380283674082,1.7103262738523073
Glucocorticoid Receptor; Beta,0.019511279830446288,1.7097142423906817
ANX3 Annexin III (lipocortin III),0.019582034083923804,1.7081421978474314
Acetyl-coenzyme A transporter,0.019645066423813397,1.7067464984150738
Indian hedgehog protein (IHH) mRNA; 5' end,0.01966506885980444,1.7063045285127783
RPS14 gene (unknown protein) extracted from Human ribosomal protein S14 gene,0.019675245690823975,1.7060798357667177
DGS-D mRNA; 3' end,0.019687645107005634,1.7058062279043134
(AF1q) mRNA,0.019752795019804315,1.7043714430353396
KIAA0230 gene; partial cds,0.019775675448006232,1.7038686740334605
OZF mRNA,0.019837319579898476,1.7025170101204394
LAMA2 Laminin; alpha 2 (merosin; congenital muscular dystrophy),0.02002696625978251,1.6983848338528535
GB DEF = DNA sequence from PAC 453A3 contains EST and STS,0.020037346050310774,1.6981598013692956
mRNA (clone C-2k) mRNA for serine/threonine protein kinase,0.020102293049241642,1.6967544001998145
TTF mRNA for small G protein,0.020123762830111965,1.6962908097213942
Mucin 6; Gastric (Gb:L07518),0.02013836005590932,1.6959758986119826
AFFX-LysX-M_at (endogenous control),0.020202832472316228,1.6945877374414915
G0S2 gene extracted from Human GOS2 gene; 5' flank and cds,0.020208572225312655,1.6944643691453756
G6PD Glucose-6-phosphate dehydrogenase,0.020262575447575967,1.693305355047566
TFIID subunit TAFII55 (TAFII55) mRNA,0.02042911152474895,1.6897505207042811
ECGF1 Endothelial differentiation protein (edg-1),0.020437945052817527,1.6895627727783502
GB DEF = PreC gene; ORF X,0.020443805090606646,1.6894382682214728
Mitogen induced nuclear orphan receptor (MINOR) mRNA,0.020463483535807115,1.689020433595459
Mitogen induced nuclear orphan receptor (MINOR) mRNA,0.020463483535807115,1.689020433595459
P2U nucleotide receptor mRNA,0.020502157221608173,1.6882004404003144
IGHM Immunoglobulin mu,0.020525297369724967,1.6877105421210623
Arg protein tyrosine kinase-binding protein,0.020571087927149262,1.6867427395029642
Glial Growth Factor 2,0.02057283269410755,1.6867059057422917
ID3 Inhibitor of DNA binding 3; dominant negative helix-loop-helix protein,0.020604485211088312,1.686038231553202
Ribosomal RNA upstream binding transcription factor (UBTF) gene; partial cds,0.0206624877664558,1.6848173905511585
GB DEF = Integral membrane protein (NRAMP1) gene; exon 5,0.02085723509773399,1.680743263569285
JTV-1 (JTV-1) mRNA,0.020881990951680567,1.680228096756572
Acyl-CoA thioester hydrolase mRNA,0.020898270264123362,1.6798896586657062
EEF1G Translation elongation factor 1 gamma,0.020969042671232653,1.6784213965299626
EEF1G Translation elongation factor 1 gamma,0.020969042671232653,1.6784213965299626
EEF1G Translation elongation factor 1 gamma,0.020969042671232653,1.6784213965299626
